Year,Month,mean_temp,ice_extent
1979,1,-7.7,15.414
1979,2,-10.8,16.175285714285714
1979,3,1.6,16.3419375
1979,4,5.3,15.446799999999996
1979,5,11.4,13.856866666666665
1979,6,17.2,12.53
1979,7,20.5,10.311250000000001
1979,8,18.6,8.04106666666667
1979,9,14.9,7.051133333333332
1979,10,8.5,8.7479375
1979,11,3.7,10.943066666666665
1979,12,-1.1,13.336266666666667
1980,1,-5.1,14.861874999999998
1980,2,-7.8,15.955142857142857
1980,3,-2.0,16.0413125
1980,4,6.2,15.429066666666667
1980,5,13.8,13.792599999999998
1980,6,15.2,12.204600000000003
1980,7,20.4,10.1000625
1980,8,21.3,7.984266666666666
1980,9,15.0,7.667066666666666
1980,10,7.0,9.18275
1980,11,2.1,11.382866666666668
1980,12,-6.6,13.592933333333331
1981,1,-10.2,14.9096875
1981,2,-2.1,15.604071428571428
1981,3,0.0,15.631533333333332
1981,4,7.6,15.009933333333331
1981,5,11.8,13.801625000000003
1981,6,17.3,12.429733333333335
1981,7,20.6,10.270999999999997
1981,8,19.4,7.844312500000002
1981,9,14.3,7.138466666666667
1981,10,6.5,8.856266666666667
1981,11,3.4,10.929
1981,12,-2.9,13.341124999999998
1982,1,-10.1,15.176733333333333
1982,2,-7.6,15.973499999999998
1982,3,-2.0,16.043875
1982,4,4.7,15.466000000000001
1982,5,14.3,13.973199999999999
1982,6,15.2,12.476066666666668
1982,7,20.9,10.367062500000001
1982,8,17.3,8.139533333333334
1982,9,14.8,7.301733333333333
1982,10,9.7,9.421062500000001
1982,11,3.9,11.627466666666667
1982,12,0.7,13.641799999999996
1983,1,-4.1,14.942437499999999
1983,2,-3.1,16.00614285714286
1983,3,0.6,16.085266666666666
1983,4,5.5,15.172066666666664
1983,5,10.1,13.4913125
1983,6,18.3,12.295666666666666
1983,7,22.3,10.570266666666667
1983,8,21.1,8.185875
1983,9,16.7,7.3946000000000005
1983,10,8.9,9.334066666666667
1983,11,3.3,11.461
1983,12,-6.4,13.298437500000002
1984,1,-9.7,14.473266666666667
1984,2,-1.5,15.298933333333332
1984,3,-4.6,15.584200000000001
1984,4,7.2,15.014466666666666
1984,5,10.3,13.576687499999998
1984,6,18.2,12.151666666666667
1984,7,19.8,9.977533333333334
1984,8,21.1,7.771062499999999
1984,9,13.9,6.805199999999998
1984,10,10.3,8.560599999999999
1984,11,2.7,10.841533333333333
1984,12,-0.2,12.989437500000001
1985,1,-8.4,14.724866666666665
1985,2,-5.8,15.465714285714288
1985,3,0.3,15.885937500000002
1985,4,7.3,15.356533333333335
1985,5,13.1,14.0734
1985,6,15.7,12.219066666666665
1985,7,19.6,9.7445625
